administrator,Another word for either the root user or one who has adopted that user’s powers temporarily.
alias,"Method of creating a user-defined command that, when typed, causes another command to
be run or a string to be expanded."
apache,"Popular Open Source web server software that runs on Unix, Linux, and other operating
system platforms. Considered responsible in part for the rise in popularity of Linux in the
late 1990s."
applet,"Small program that, in the context of the Ubuntu desktop, runs as part of a larger program
and offers functions that complement the main program. The GNOME desktop incorporates
several applets in its notification area."
archive,"Any file containing a collection of smaller files, compressed or otherwise (see also tar)."
bash,"Bourne Again SHell. The most common shell interpreter used under Linux and offered as
default on many Linux systems."
checksum,"Mathematical process that can be applied to a file or other data to create a unique number
relative to the contents of that file. If the file is modified, the checksum will change, usually
indicating that the file in question has failed to download correctly or has been modified in
some way. The most common type of checksum program used under Linux is md5sum."
client,Shorthand referring to a computer that connects to a server.
code,See source code
command,"Input typed at the shell that performs a specific task, usually related to administration of the
system and/or the manipulation of files."
commodity,"In the context of hardware, describes PC hardware usually based around Intel or AMD
processors that can be bought off the shelf and used to create sophisticated computer systems
(as opposed to buying specially designed hardware). One reason for Linux’s success is its
ability to use commodity hardware."
community,"The general term for the millions of Linux users worldwide, regardless of what they use
Linux for or their individual backgrounds. By using Linux, you automatically become part
of the community."
compile,"The practice of creating a binary file from source code, usually achieved using the ./configure,
make, make install series of commands and scripts."
copyleft,"The legal principle of protecting the right to share a creative work, such as a computer
program, using a legally binding license. Copyleft also ensures future iterations of the work
are covered in the same way."
cracker,"Someone who breaks into computer systems to steal data or cause damage. The term is not
necessarily linked to Linux or Unix but was created by the community to combat the widespread use of hacker in this sense. The word hacker has traditionally defined someone who
merely administers, programs, and generally enjoys computers."
cron,Background service that schedules tasks to occur at certain times. It relies on the crontab file.
cups,"Common Unix Printing System; set of programs that work in the background to handle
printing under Unix and Linux."
curses,"Library that lets software present a semigraphical interface at the shell, complete with menu
systems and simple mouse control (if configured). The version of curses used under Linux
and Unix is called ncurses."
daemon,See service.
debian,"Voluntary organization that produces distributions of Free Software operating systems,
including Linux. Because it is a nonprofit organization run by passionate Free Software
advocates, it is considered the most ethically sound of all Linux outfits. Many distributions,
including Ubuntu, use Debian as the basis for their software because of its claimed reliability
and relative simplicity."
dependency,"A way of referring to system files that a program requires in order to run. If the dependencies
are not present during program installation, a program might refuse to install."
device,"Linux shorthand describing something on your system that provides a function for the user
or that the system requires in order to run. This usually refers to hardware, but it can also
describe a virtual device that is created to provide access to a particular Linux function."
directory,"What Windows refers to as a folder; areas on a hard disk in which files can be stored and
organized."
distribution,"A collection of software making up the Linux operating system; also known as a distro. The
software is usually compiled by either a company or organization. A distribution is designed
to be easy to install, administer, and use by virtue of it being an integrated whole. Examples
include Ubuntu, SUSE Linux, Red Hat, and Debian"
distro,Shorthand for distribution.
documentation,"Another way of describing written guides or instructions; can refer to online sources of help
as well as actual printed documentation."
dpkg,"Shell command that can be used to administer software under Ubuntu and Debian. However,
the APT system, which uses dpkg, is the preferred method of installing software."
emacs,"Seminal text editor and pseudo-shell beloved by Unix aficionados; can be used for programming tasks, simple word processing, and much more. This editor has cultural significance as
one of the core pieces of software offered by GNU Project, The. Emacs was originally developed
principally by Stallman, Richard. See also vi."
environment,"Shorthand referring to a user’s unique Linux configuration, such as variables that tell the
shell where programs are located."
firefox,Web browser program used under Ubuntu and produced by the Mozilla Foundation.
floss,"Free, Libre, or Open Source Software; used within the community to describe all software or
technology that, broadly speaking, adheres to the ethical approach of Open Source software
and/or Free Software, as well as its legal guidelines."
foss,Free or Open Source Software; alternative term for FLOSS.
free,"When used to describe software or associated areas of technology, “free” indicates that
the project abides by the ethical (if not legal) guidelines laid down by GNU Project, The.
It doesn’t indicate that the software is free in a monetary sense; its meaning is quite different
from “freeware.”"
gimp,"GNU Image Manipulation Program; high-powered image-editing program that runs under
Linux, Unix, Windows and other operating systems. Often preceded by the definite article:
“The GIMP.”"
gnome,"GNU Network Object Model Environment; a GUI-based desktop environment used by
Ubuntu, as well as several other distributions. It uses the GTK+ libraries. See also KDE."
grep,"Global Regular Expression Print; powerful shell command that lets you search a file or other
form of input using regular expressions. Because of the ubiquity of the grep program, many
Linux and Unix users refer to searching as “grepping.” To “grep a file” is to search through it
for a string"
group,Collection of users under one heading (group name) to facilitate system administration.
grub,"GRand Unified Bootloader; boot manager program that offers a menu from which you can
choose which operating system you wish to boot. It’s needed to load the kernel program and
thereby initiate the Linux boot procedure."
guru,"One who is experienced and knowledgeable about Linux/Unix and is willing to share his or
her knowledge with others. In a perfect world, every newbie would have his or her own guru."
gzip,"One of the two preferred forms of file compression used under Linux. Files employing gzip
compression usually have a .gz file extension. See also bzip2."
hack,"Ingenious and/or extremely efficient solution to a problem, particularly within the
programming world."
hacker,"Term used within the community to describe anyone who enjoys computers and possesses
some skill therein, either in a professional capacity or as a hobby. This term is distinct from
connotations of maliciously breaking into computers propagated by the media. See also cracker."
host,Shorthand referring to any computer that acts as a server to another computer. See also client.
hurd,"Kernel being developed by GNU Project, The. It’s not associated with the Linux kernel in
any way."
info,"Source of documentation accessible from the shell; an alternative to the more established
man page system. Also known as Texinfo."
init,"The program that is automatically run after the kernel has finished loading, and therefore
early in the boot procedure. It’s responsible for effectively starting the operating system."
initrd,"Initial RAM disk; system used by the Linux kernel to load modules that are essential for the
kernel to be able to boot, such as disk controllers."
inode,"Part of the usually invisible file system structure that describes a file, such as its ownership
permissions or file size."
ipchains,"Now deprecated component of version 2.2 of the Linux kernel that allows the creation of
network security setups, such as firewalls or port-forwarding arrangements. Note that some
distros still prefer to use ipchains. See also iptables."
iptables,"Component of versions 2.4 and 2.6 of the Linux kernel that allows powerful network security
setups. Chiefly used in the creation of firewalls, but can be used for more elementary arrangements such as network address translation (NAT) routers."
journaling,File system technology in which integrity is maintained via the logging of disk writes.
kernel,"Essential but ordinarily invisible set of programs that run the computer’s hardware and
provide a platform on which to run software. In the Linux operating system, the kernel is
also called Linux, after its creator, Torvalds, Linus."
kludge,"Community slang describing an inelegant way of making something work, usually not in a
way that is generally accepted as being correct. Pronounced “kloodge.”"
kubuntu,"Version of Ubuntu that substitutes the GNOME desktop environment for KDE. At the time of
writing, it is less mature than the standard version of Ubuntu."
